name,position in array,low,high,step,optguess,minbound,maxbound,derived params
SpecificLeafArea,,0.6,0.8,,,,,
StageKcFactor,,0.6,1.3,,,,,
DroughtStressThreshold,,0.2,1,,,,,
CropSpecificMaxRootingDepth,,0.1,0.3,,,,,
