Experiment;Name;Weather;Soil;Year;Cutting;Crop;Cultivar;Lat;Long;Elevation;GrassmindCol;GrassmindRow;GrassmindSoil;groundwaterMIN;groundwaterMAX;groundwaterMonth
EX370;SWS_036_MGFE_2024;weather33;SWS_036;2024;default_cut;GR;Grass_CLV4;51.8388633;14.062439;51.06;568;346;3;0.11;1.19;1
EX371;SWS_037_MGFE_2024;weather33;SWS_037;2024;default_cut;GR;Grass_CLV4;51.8399589;14.06253;51.08;568;346;4;0.13;1.21;1
EX372;SWS_038_MGFE_2024;weather33;SWS_038;2024;default_cut;GR;Grass_CLV4;51.840788;14.0620745;51.03;568;346;5;0.08;1.16;1
EX373;SWS_039_MGFE_2024;weather33;SWS_039;2024;default_cut;GR;Grass_CLV4;51.8414528;14.0622957;51.03;568;346;6;0.08;1.16;1
EX374;SWS_040_MGFE_2024;weather33;SWS_040;2024;default_cut;GR;Grass_CLV4;51.8421041;14.0624509;50.97;568;346;7;0.02;1.1;1
EX375;SWS_041_MGFE_2024;weather33;SWS_041;2024;default_cut;GR;Grass_CLV4;51.8419123;14.0612618;50.97;568;346;8;0.02;1.1;1
EX376;SWS_042_MGFE_2024;weather33;SWS_042;2024;default_cut;GR;Grass_CLV4;51.8409881;14.0591582;51.01;568;346;9;0.06;1.14;1
EX377;SWS_043_MGFE_2024;weather33;SWS_043;2024;default_cut;GR;Grass_CLV4;51.8418813;14.059005;50.96;568;346;10;0.01;1.09;1
EX378;SWS_044_MGFE_2024;weather32;SWS_044;2024;default_cut;GR;Grass_CLV4;51.8428333;14.0582362;50.96;568;346;11;0.01;1.09;1
EX379;SWS_045_MGFE_2024;weather32;SWS_045;2024;default_cut;GR;Grass_CLV4;51.8429082;14.0597955;51.05;568;346;12;0.1;1.18;1
