Experiment;Name;Weather;Soil;Year;Cutting;Crop;Cultivar;Lat;Long;Elevation;GrassmindCol;GrassmindRow;GrassmindSoil;groundwaterMIN;groundwaterMAX;groundwaterMonth
EX137;PAU_069_MGFE_2024;weather27;PAU_069;2024;default_cut;GR;Grass_CLV4;52.6902443;12.7354937;29.37;472;257;1;0.569;2.069;1
EX139;PAU_071_MGFE_2024;weather27;PAU_071;2024;default_cut;GR;Grass_CLV4;52.6904179;12.7342282;29.17;472;257;2;0.369;1.869;1
EX140;PAU_072_MGFE_2024;weather26;PAU_072;2024;default_cut;GR;Grass_CLV4;52.6911458;12.7289006;28.79;471;257;1;0.001;1.489;1
EX142;PAU_074_MGFE_2024;weather24;PAU_074;2024;default_cut;GR;Grass_CLV4;52.6926154;12.7288122;29.31;471;257;2;0.509;2.009;1
EX143;PAU_075_MGFE_2024;weather24;PAU_075;2024;default_cut;GR;Grass_CLV4;52.6928913;12.7291274;28.87;471;257;3;0.069;1.569;1
EX144;PAU_076_MGFE_2024;weather24;PAU_076;2024;default_cut;GR;Grass_CLV4;52.6928291;12.7279821;29.12;471;257;4;0.319;1.819;1
EX146;PAU_078_MGFE_2024;weather24;PAU_078;2024;default_cut;GR;Grass_CLV4;52.6938763;12.7274451;28.72;471;257;5;0.001;1.419;1
EX149;PAU_081_MGFE_2024;weather24;PAU_081;2024;default_cut;GR;Grass_CLV4;52.6948785;12.7294913;29.16;471;256;1;0.359;1.859;1
EX153;PAU_085_MGFE_2024;weather26;PAU_085;2024;default_cut;GR;Grass_CLV4;52.6911057;12.7255042;28.54;471;257;6;0.001;1.239;1
EX154;PAU_086_MGFE_2024;weather26;PAU_086;2024;default_cut;GR;Grass_CLV4;52.6908625;12.7255981;28.73;471;257;7;0.001;1.429;1
EX157;PAU_089_MGFE_2024;weather26;PAU_089;2024;default_cut;GR;Grass_CLV4;52.6910201;12.7326335;29.03;471;257;8;0.229;1.729;1
EX161;PAU_093_MGFE_2024;weather26;PAU_093;2024;default_cut;GR;Grass_CLV4;52.691147;12.7304486;29.21;471;257;9;0.409;1.909;1
EX164;PAU_096_MGFE_2024;weather24;PAU_096;2024;default_cut;GR;Grass_CLV4;52.6925778;12.7311484;28.93;471;257;10;0.129;1.629;1
EX166;PAU_098_MGFE_2024;weather27;PAU_098;2024;default_cut;GR;Grass_CLV4;52.6902524;12.7400663;28.9;472;257;3;0.099;1.599;1
EX167;PAU_099_MGFE_2024;weather27;PAU_099;2024;default_cut;GR;Grass_CLV4;52.6904591;12.7406422;28.73;472;257;4;0.001;1.429;1
EX170;PAU_102_MGFE_2024;weather27;PAU_102;2024;default_cut;GR;Grass_CLV4;52.6895939;12.7367825;28.65;472;257;5;0.001;1.349;1
EX171;PAU_103_MGFE_2024;weather27;PAU_103;2024;default_cut;GR;Grass_CLV4;52.6900148;12.7362725;29.5;472;257;6;0.699;2.199;1
EX173;PAU_105_MGFE_2024;weather27;PAU_105;2024;default_cut;GR;Grass_CLV4;52.6904439;12.7332272;29.07;471;257;11;0.269;1.769;1
EX342;SWK_024_MGFE_2024;weather28;SWK_024;2024;default_cut;GR;Grass_CLV4;51.8918663;13.9725784;49.37;561;341;1;0.001;0.59;3
EX343;SWK_025_MGFE_2024;weather29;SWK_025;2024;default_cut;GR;Grass_CLV4;51.8918609;13.9743395;49.55;561;341;2;0.001;0.77;3
EX344;SWK_026_MGFE_2024;weather31;SWK_026;2024;default_cut;GR;Grass_CLV4;51.8908768;13.974408;49.49;561;341;3;0.001;0.71;3
EX345;SWK_027_MGFE_2024;weather31;SWK_027;2024;default_cut;GR;Grass_CLV4;51.8907931;13.9745062;49.45;561;341;4;0.001;0.67;3
EX346;SWK_028_MGFE_2024;weather30;SWK_028;2024;default_cut;GR;Grass_CLV4;51.89027;13.973275;49.36;561;341;5;0.001;0.58;3
EX347;SWK_029_MGFE_2024;weather29;SWK_029;2024;default_cut;GR;Grass_CLV4;51.8914611;13.9769196;49.4;562;341;1;0.001;0.62;3
EX349;SWK_031_MGFE_2024;weather29;SWK_031;2024;default_cut;GR;Grass_CLV4;51.891445;13.9767336;49.47;562;341;2;0.001;0.69;3
EX350;SWK_032_MGFE_2024;weather31;SWK_032;2024;default_cut;GR;Grass_CLV4;51.8898208;13.9760323;49.48;562;341;3;0.001;0.7;3
EX351;SWK_033_MGFE_2024;weather30;SWK_033;2024;default_cut;GR;Grass_CLV4;51.890788;13.9725276;49.39;561;341;6;0.001;0.61;3
EX368;SWS_034_MGFE_2024;weather33;SWS_034;2024;default_cut;GR;Grass_CLV4;51.8400068;14.0604469;51.01;568;346;1;0.06;1.14;1
EX369;SWS_035_MGFE_2024;weather33;SWS_035;2024;default_cut;GR;Grass_CLV4;51.8393149;14.061219;51.06;568;346;2;0.11;1.19;1
