Experiment;Name;Weather;Soil;Year;Cutting;Crop;Cultivar;Lat;Long;Elevation;GrassmindCol;GrassmindRow;groundwaterMIN;groundwaterMAX;groundwaterMonth
EX1;BAR_001_MGFE_2024;weather1;BAR_001;2024;default_cut;GR;Grass_CLV4;53.8328753;13.8095692;-0.95;558;186;;;1
EX2;BAR_002_MGFE_2024;weather1;BAR_002;2024;default_cut;GR;Grass_CLV4;53.8329139;13.809407;-0.91;558;186;;;1
EX3;BAR_003_MGFE_2024;weather1;BAR_003;2024;default_cut;GR;Grass_CLV4;53.8332972;13.810022;-0.79;558;186;;;1
EX4;BAR_004_MGFE_2024;weather1;BAR_004;2024;default_cut;GR;Grass_CLV4;53.8326612;13.8095499;-0.93;558;186;;;1
EX5;BAR_005_MGFE_2024;weather1;BAR_005;2024;default_cut;GR;Grass_CLV4;53.8327067;13.8125285;-0.59;558;186;;;1
EX6;BAR_006_MGFE_2024;weather1;BAR_006;2024;default_cut;GR;Grass_CLV4;53.8329469;13.8144806;-0.54;558;186;;;1
EX7;BAR_007_MGFE_2024;weather1;BAR_007;2024;default_cut;GR;Grass_CLV4;53.8326084;13.8138626;-0.55;558;186;;;1
EX8;BAR_008_MGFE_2024;weather1;BAR_008;2024;default_cut;GR;Grass_CLV4;53.8326603;13.8160687;-0.55;558;186;;;1
EX9;BAR_009_MGFE_2024;weather1;BAR_009;2024;default_cut;GR;Grass_CLV4;53.8330066;13.8173214;-0.48;558;186;;;1
EX10;BAR_010_MGFE_2024;weather1;BAR_010;2024;default_cut;GR;Grass_CLV4;53.8327242;13.8127625;-0.58;558;186;;;1
EX11;BAR_011_MGFE_2024;weather1;BAR_011;2024;default_cut;GR;Grass_CLV4;53.8363879;13.8139811;-0.58;558;186;;;1
EX12;BAR_012_MGFE_2024;weather1;BAR_012;2024;default_cut;GR;Grass_CLV4;53.8367009;13.8142814;-0.52;558;186;;;1
EX13;BAR_013_MGFE_2024;weather1;BAR_013;2024;default_cut;GR;Grass_CLV4;53.8361004;13.8154799;-0.46;558;186;;;1
EX14;BAR_014_MGFE_2024;weather1;BAR_014;2024;default_cut;GR;Grass_CLV4;53.8360721;13.816793;-0.38;558;186;;;1
EX15;BAR_015_MGFE_2024;weather1;BAR_015;2024;default_cut;GR;Grass_CLV4;53.8354442;13.8164223;-0.48;558;186;;;1
EX16;BAR_016_MGFE_2024;weather1;BAR_016;2024;default_cut;GR;Grass_CLV4;53.8346937;13.81709;-0.42;558;186;;;1
EX17;BAR_017_MGFE_2024;weather1;BAR_017;2024;default_cut;GR;Grass_CLV4;53.8345216;13.8170769;-0.07;558;186;;;1
EX18;BAR_018_MGFE_2024;weather1;BAR_018;2024;default_cut;GR;Grass_CLV4;53.8351146;13.8142745;-0.63;558;186;;;1
EX19;BAR_019_MGFE_2024;weather1;BAR_019;2024;default_cut;GR;Grass_CLV4;53.8352062;13.812503;0.06;558;186;;;1
EX20;BAR_020_MGFE_2024;weather1;BAR_020;2024;default_cut;GR;Grass_CLV4;53.8356902;13.8110367;-0.41;558;186;;;1
EX21;BAR_021_MGFE_2024;weather1;BAR_021;2024;default_cut;GR;Grass_CLV4;53.8357414;13.8131559;-0.6;558;186;;;1
