Experiment;Name;Weather;Soil;Year;Cutting;Crop;Cultivar;Lat;Long;Elevation;GrassmindCol;GrassmindRow;groundwaterMIN;groundwaterMAX;groundwaterMonth
EX22;BAR_022_MGFE_2024;weather1;BAR_022;2024;default_cut;GR;Grass_CLV4;53.8327444;13.8114034;-0.2;558;186;;;1
EX23;MSW_001_MGFE_2023;weather13;MSW_001;2024;default_cut;GR;Grass_CLV4;52.8156384;13.2681508;36.37;507;241;1.7487618923187256;2.61802339553833;12
EX24;MSW_002_MGFE_2023;weather13;MSW_002;2024;default_cut;GR;Grass_CLV4;52.8149746;13.2688838;36.5;507;241;1.7487618923187256;2.61802339553833;12
EX25;MSW_003_MGFE_2023;weather13;MSW_003;2024;default_cut;GR;Grass_CLV4;52.8144404;13.2694394;36.31;507;241;1.7487618923187256;2.61802339553833;12
EX26;MSW_004_MGFE_2023;weather13;MSW_004;2024;default_cut;GR;Grass_CLV4;52.8137898;13.2699588;36.43;507;241;1.7487618923187256;2.61802339553833;12
EX27;MSW_005_MGFE_2023;weather13;MSW_005;2024;default_cut;GR;Grass_CLV4;52.8132407;13.2700565;36.62;507;241;1.7487618923187256;2.61802339553833;12
EX28;MSW_006_MGFE_2023;weather13;MSW_006;2024;default_cut;GR;Grass_CLV4;52.813775;13.2711464;36.35;507;241;1.7487618923187256;2.61802339553833;2
EX29;MSW_007_MGFE_2023;weather13;MSW_007;2024;default_cut;GR;Grass_CLV4;52.8140965;13.2715778;36.21;507;241;1.7487618923187256;2.61802339553833;2
EX30;MSW_008_MGFE_2023;weather13;MSW_008;2024;default_cut;GR;Grass_CLV4;52.8134249;13.2744854;36.21;507;241;1.7487618923187256;2.61802339553833;2
EX31;MSW_009_MGFE_2023;weather13;MSW_009;2024;default_cut;GR;Grass_CLV4;52.812788;13.2750809;36.29;507;241;1.7487618923187256;2.61802339553833;2
EX32;MSW_010_MGFE_2023;weather13;MSW_010;2024;default_cut;GR;Grass_CLV4;52.812244;13.2750417;36.37;507;241;1.7487618923187256;2.61802339553833;2
EX33;MSW_011_MGFE_2023;weather13;MSW_011;2024;default_cut;GR;Grass_CLV4;52.8127611;13.2731505;36.1;507;241;1.7487618923187256;2.61802339553833;2
EX34;MSW_012_MGFE_2023;weather13;MSW_012;2024;default_cut;GR;Grass_CLV4;52.8130193;13.2721655;36.21;507;241;1.7487618923187256;2.61802339553833;2
EX35;MSW_013_MGFE_2023;weather13;MSW_013;2024;default_cut;GR;Grass_CLV4;52.8132474;13.2715054;36.67;507;241;1.7487618923187256;2.61802339553833;2
EX36;MSW_014_MGFE_2023;weather13;MSW_014;2024;default_cut;GR;Grass_CLV4;52.8135045;13.2721369;36.34;507;241;1.7487618923187256;2.61802339553833;2
EX37;MSW_015_MGFE_2023;weather13;MSW_015;2024;default_cut;GR;Grass_CLV4;52.813305;13.2732873;36.32;507;241;1.7487618923187256;2.61802339553833;2
EX38;MSW_016_MGFE_2023;weather13;MSW_016;2024;default_cut;GR;Grass_CLV4;52.8137617;13.2683049;36.32;507;241;1.7487618923187256;2.61802339553833;12
EX39;MSW_017_MGFE_2023;weather13;MSW_017;2024;default_cut;GR;Grass_CLV4;52.8142272;13.2685535;36.73;507;241;1.7487618923187256;2.61802339553833;12
EX40;MSW_018_MGFE_2023;weather13;MSW_018;2024;default_cut;GR;Grass_CLV4;52.8137317;13.2690864;36.92;507;241;1.7487618923187256;2.61802339553833;12
EX41;MSW_019_MGFE_2024;weather13;MSW_019;2024;default_cut;GR;Grass_CLV4;52.8137945;13.2686515;36.62;507;241;1.7487618923187256;2.61802339553833;12
EX42;MSW_020_MGFE_2024;weather13;MSW_020;2024;default_cut;GR;Grass_CLV4;52.8146319;13.2686408;36.33;507;241;1.7487618923187256;2.61802339553833;12
EX43;MSW_021_MGFE_2024;weather13;MSW_021;2024;default_cut;GR;Grass_CLV4;52.8149887;13.2685964;36.48;507;241;1.7487618923187256;2.61802339553833;12
EX44;MSW_022_MGFE_2024;weather13;MSW_022;2024;default_cut;GR;Grass_CLV4;52.8146105;13.2691029;36.21;507;241;1.7487618923187256;2.61802339553833;12
EX45;MSW_023_MGFE_2024;weather13;MSW_023;2024;default_cut;GR;Grass_CLV4;52.813493;13.269781;36.64;507;241;1.7487618923187256;2.61802339553833;12
EX46;MSW_024_MGFE_2024;weather13;MSW_024;2024;default_cut;GR;Grass_CLV4;52.8136908;13.271428;36.27;507;241;1.7487618923187256;2.61802339553833;2
EX47;MSW_025_MGFE_2024;weather13;MSW_025;2024;default_cut;GR;Grass_CLV4;52.8132391;13.2721826;36.27;507;241;1.7487618923187256;2.61802339553833;2
EX48;MSW_026_MGFE_2024;weather13;MSW_026;2024;default_cut;GR;Grass_CLV4;52.8130749;13.2728391;36.2;507;241;1.7487618923187256;2.61802339553833;2
EX49;MSW_027_MGFE_2024;weather13;MSW_027;2024;default_cut;GR;Grass_CLV4;52.8131957;13.273727;36.27;507;241;1.7487618923187256;2.61802339553833;2
EX50;MSW_028_MGFE_2024;weather13;MSW_028;2024;default_cut;GR;Grass_CLV4;52.8130443;13.2743117;36.26;507;241;1.7487618923187256;2.61802339553833;2
EX51;MSW_044_MGFE_2023;weather13;MSW_044;2024;default_cut;GR;Grass_CLV4;52.8156384;13.2681508;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX52;MSW_045_MGFE_2023;weather13;MSW_045;2024;default_cut;GR;Grass_CLV4;52.8149746;13.2688837;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX53;MSW_046_MGFE_2023;weather13;MSW_046;2024;default_cut;GR;Grass_CLV4;52.8144404;13.2694392;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX54;MSX_029_LFUW_2024;weather13;MSX_029;2024;default_cut;GR;Grass_CLV4;52.812642;13.274733;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX55;MSX_030_LFUW_2024;weather13;MSX_030;2024;default_cut;GR;Grass_CLV4;52.813081;13.27405;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX56;MSX_031_LFUW_2024;weather13;MSX_031;2024;default_cut;GR;Grass_CLV4;52.813548;13.273531;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX57;MSX_032_LFUW_2024;weather13;MSX_032;2024;default_cut;GR;Grass_CLV4;52.812703;13.272423;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX58;MSX_033_LFUW_2024;weather13;MSX_033;2024;default_cut;GR;Grass_CLV4;52.810735;13.276692;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX59;MSX_034_LFUW_2024;weather13;MSX_034;2024;default_cut;GR;Grass_CLV4;52.810008;13.276353;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX60;MSX_035_LFUW_2024;weather14;MSX_035;2024;default_cut;GR;Grass_CLV4;52.807675;13.277062;44.574195861816406;507;241;1.8895963430404663;2.8567025661468506;
EX61;MSX_036_LFUW_2024;weather13;MSX_036;2024;default_cut;GR;Grass_CLV4;52.812276;13.275341;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX62;MSX_037_LFUW_2024;weather13;MSX_037;2024;default_cut;GR;Grass_CLV4;52.811937;13.276045;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX63;MSX_038_LFUW_2024;weather13;MSX_038;2024;default_cut;GR;Grass_CLV4;52.812066;13.275817;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX64;MSX_039_LFUW_2024;weather13;MSX_039;2024;default_cut;GR;Grass_CLV4;52.815122;13.271938;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX65;MSX_040_LFUW_2024;weather13;MSX_040;2024;default_cut;GR;Grass_CLV4;52.815232;13.268622;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX66;MSX_041_LFUW_2024;weather13;MSX_041;2024;default_cut;GR;Grass_CLV4;52.813396;13.269647;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX67;MSX_042_LFUW_2024;weather13;MSX_042;2024;default_cut;GR;Grass_CLV4;52.812847;13.267387;44.574195861816406;507;241;1.7487618923187256;2.61802339553833;
EX68;MSX_043_LFUW_2024;weather13;MSX_043;2024;default_cut;GR;Grass_CLV4;52.814132;13.265145;44.574195861816406;507;241;2.5001790523529053;3.6459076404571533;
EX69;PAU_001_MGFE_2023;weather27;PAU_001;2024;default_cut;GR;Grass_CLV4;52.6911476;12.740143;29.18;472;257;1.2157087326049805;3.1028380393981934;1
EX70;PAU_002_MGFE_2023;weather27;PAU_002;2024;default_cut;GR;Grass_CLV4;52.6911576;12.7404191;29.41;472;257;1.2157087326049805;3.1028380393981934;1
EX71;PAU_003_MGFE_2023;weather27;PAU_003;2024;default_cut;GR;Grass_CLV4;52.6910316;12.7407014;28.77;472;257;1.2157087326049805;3.1028380393981934;1
EX72;PAU_004_MGFE_2023;weather27;PAU_004;2024;default_cut;GR;Grass_CLV4;52.6905114;12.7414159;29.41;472;257;1.2157087326049805;3.1028380393981934;1
EX73;PAU_005_MGFE_2023;weather27;PAU_005;2024;default_cut;GR;Grass_CLV4;52.6904531;12.7422262;28.76;472;257;1.2157087326049805;3.1028380393981934;1
EX74;PAU_006_MGFE_2023;weather27;PAU_006;2024;default_cut;GR;Grass_CLV4;52.6902331;12.7430397;29;472;257;1.2157087326049805;3.1028380393981934;1
EX75;PAU_007_MGFE_2023;weather27;PAU_007;2024;default_cut;GR;Grass_CLV4;52.689784;12.7438973;29.1;472;257;1.2157087326049805;3.1028380393981934;1
EX76;PAU_008_MGFE_2023;weather27;PAU_008;2024;default_cut;GR;Grass_CLV4;52.6892387;12.7438846;28.96;472;257;1.2157087326049805;3.1028380393981934;1
EX77;PAU_009_MGFE_2023;weather27;PAU_009;2024;default_cut;GR;Grass_CLV4;52.6893482;12.7445677;28.86;472;257;1.2157087326049805;3.1028380393981934;1
EX78;PAU_010_MGFE_2023;weather27;PAU_010;2024;default_cut;GR;Grass_CLV4;52.6894185;12.7452386;29.1;472;257;1.2157087326049805;3.1028380393981934;1
EX79;PAU_011_MGFE_2023;weather24;PAU_011;2024;default_cut;GR;Grass_CLV4;52.6953906;12.7289487;28.71;471;256;0.6555288434028625;2.6996707916259766;1
EX80;PAU_012_MGFE_2023;weather24;PAU_012;2024;default_cut;GR;Grass_CLV4;52.6949946;12.7284771;29.11;471;256;0.6555288434028625;2.6996707916259766;1
EX81;PAU_013_MGFE_2023;weather24;PAU_013;2024;default_cut;GR;Grass_CLV4;52.6946601;12.7284685;28.77;471;256;0.6555288434028625;2.6996707916259766;1
EX82;PAU_014_MGFE_2023;weather24;PAU_014;2024;default_cut;GR;Grass_CLV4;52.6951377;12.729866;29.27;471;256;0.6555288434028625;2.6996707916259766;1
EX83;PAU_015_MGFE_2023;weather24;PAU_015;2024;default_cut;GR;Grass_CLV4;52.6947333;12.7299972;28.87;471;256;0.6555288434028625;2.6996707916259766;1
EX84;PAU_016_MGFE_2023;weather24;PAU_016;2024;default_cut;GR;Grass_CLV4;52.69431;12.7297137;28.73;471;256;0.6555288434028625;2.6996707916259766;1
EX85;PAU_017_MGFE_2023;weather24;PAU_017;2024;default_cut;GR;Grass_CLV4;52.694367;12.7289043;28.92;471;256;0.6555288434028625;2.6996707916259766;1
EX86;PAU_018_MGFE_2023;weather24;PAU_018;2024;default_cut;GR;Grass_CLV4;52.6934551;12.7292527;29.21;471;257;0.6555288434028625;2.6996707916259766;1
EX87;PAU_019_MGFE_2023;weather24;PAU_019;2024;default_cut;GR;Grass_CLV4;52.6938524;12.7301827;28.87;471;257;0.6555288434028625;2.6996707916259766;1
EX88;PAU_020_MGFE_2023;weather24;PAU_020;2024;default_cut;GR;Grass_CLV4;52.6942988;12.7310553;28.81;471;256;0.6555288434028625;2.6996707916259766;1
EX89;PAU_021_MGFE_2023;weather24;PAU_021;2024;default_cut;GR;Grass_CLV4;52.6940914;12.7280999;28.69;471;256;0.6555288434028625;2.6996707916259766;1
EX90;PAU_022_MGFE_2023;weather26;PAU_022;2024;default_cut;GR;Grass_CLV4;52.69165;12.7254955;29.41;471;257;1.600088119506836;3.1442980766296387;1
EX91;PAU_023_MGFE_2023;weather26;PAU_023;2024;default_cut;GR;Grass_CLV4;52.6921413;12.7267724;28.62;471;257;1.600088119506836;3.1442980766296387;1
EX92;PAU_024_MGFE_2023;weather26;PAU_024;2024;default_cut;GR;Grass_CLV4;52.6926173;12.7277472;28.88;471;257;1.600088119506836;3.1442980766296387;1
EX93;PAU_025_MGFE_2023;weather26;PAU_025;2024;default_cut;GR;Grass_CLV4;52.6918902;12.7275545;28.94;471;257;1.600088119506836;3.1442980766296387;1
EX94;PAU_026_MGFE_2023;weather26;PAU_026;2024;default_cut;GR;Grass_CLV4;52.690864;12.7268258;28.71;471;257;1.600088119506836;3.1442980766296387;1
EX95;PAU_027_MGFE_2023;weather27;PAU_027;2024;default_cut;GR;Grass_CLV4;52.6920015;12.7377991;29.13;472;257;1.2157087326049805;3.1028380393981934;1
EX96;PAU_028_MGFE_2023;weather25;PAU_028;2024;default_cut;GR;Grass_CLV4;52.6925797;12.7352965;29.17;472;257;0.6555288434028625;2.6996707916259766;1
EX97;PAU_029_MGFE_2023;weather25;PAU_029;2024;default_cut;GR;Grass_CLV4;52.6931711;12.7333298;29.18;471;257;0.6555288434028625;2.6996707916259766;1
EX98;PAU_030_MGFE_2023;weather24;PAU_030;2024;default_cut;GR;Grass_CLV4;52.6938339;12.7329264;28.84;471;257;0.6555288434028625;2.6996707916259766;1
EX99;PAU_031_MGFE_2023;weather24;PAU_031;2024;default_cut;GR;Grass_CLV4;52.6935254;12.7320437;28.87;471;257;0.6555288434028625;2.6996707916259766;1
EX100;PAU_032_MGFE_2023;weather27;PAU_032;2024;default_cut;GR;Grass_CLV4;52.6898029;12.73593;29.22;472;257;1.600088119506836;3.1442980766296387;1
EX101;PAU_033_MGFE_2023;weather27;PAU_033;2024;default_cut;GR;Grass_CLV4;52.6901807;12.7348387;29.07;472;257;1.600088119506836;3.1442980766296387;1
EX102;PAU_034_MGFE_2023;weather27;PAU_034;2024;default_cut;GR;Grass_CLV4;52.690684;12.7355593;28.98;472;257;1.600088119506836;3.1442980766296387;1
EX103;PAU_035_MGFE_2023;weather27;PAU_035;2024;default_cut;GR;Grass_CLV4;52.6903478;12.7369389;28.96;472;257;1.2157087326049805;3.1028380393981934;1
EX104;PAU_036_MGFE_2023;weather27;PAU_036;2024;default_cut;GR;Grass_CLV4;52.6906665;12.7365221;28.75;472;257;1.2157087326049805;3.1028380393981934;1
EX105;PAU_037_MGFE_2023;weather27;PAU_037;2024;default_cut;GR;Grass_CLV4;52.689938;12.7363764;29.66;472;257;1.2157087326049805;3.1028380393981934;1
EX106;PAU_038_MGFE_2023;weather27;PAU_038;2024;default_cut;GR;Grass_CLV4;52.6914615;12.7358311;29.26;472;257;1.600088119506836;3.1442980766296387;1
EX107;PAU_039_MGFE_2023;weather27;PAU_039;2024;default_cut;GR;Grass_CLV4;52.6915351;12.7365126;28.79;472;257;1.2157087326049805;3.1028380393981934;1
EX108;PAU_040_MGFE_2023;weather27;PAU_040;2024;default_cut;GR;Grass_CLV4;52.6889004;12.7405847;28.79;472;257;1.2157087326049805;3.1028380393981934;1
EX109;PAU_041_MGFE_2023;weather27;PAU_041;2024;default_cut;GR;Grass_CLV4;52.6889108;12.7421574;28.87;472;257;1.2157087326049805;3.1028380393981934;1
EX110;PAU_042_MGFE_2023;weather27;PAU_042;2024;default_cut;GR;Grass_CLV4;52.6895025;12.7428252;29.1;472;257;1.2157087326049805;3.1028380393981934;1
EX111;PAU_043_MGFE_2023;weather27;PAU_043;2024;default_cut;GR;Grass_CLV4;52.6893105;12.7417736;28.86;472;257;1.2157087326049805;3.1028380393981934;1
EX112;PAU_044_MGFE_2023;weather27;PAU_044;2024;default_cut;GR;Grass_CLV4;52.6898546;12.7416951;29.16;472;257;1.2157087326049805;3.1028380393981934;1
EX113;PAU_045_MGFE_2023;weather27;PAU_045;2024;default_cut;GR;Grass_CLV4;52.6898625;12.7410069;28.99;472;257;1.2157087326049805;3.1028380393981934;1
EX114;PAU_046_MGFE_2023;weather27;PAU_046;2024;default_cut;GR;Grass_CLV4;52.6899272;12.7401606;29.54;472;257;1.2157087326049805;3.1028380393981934;1
EX115;PAU_047_MGFE_2023;weather24;PAU_047;2024;default_cut;GR;Grass_CLV4;52.6932033;12.726838;28.74;471;257;0.6555288434028625;2.6996707916259766;1
EX116;PAU_048_MGFE_2023;weather24;PAU_048;2024;default_cut;GR;Grass_CLV4;52.692912;12.7271088;28.79;471;257;0.6555288434028625;2.6996707916259766;1
EX117;PAU_049_MGFE_2023;weather26;PAU_049;2024;default_cut;GR;Grass_CLV4;52.6871866;12.7279513;28.77;471;257;1.600088119506836;3.1442980766296387;1
EX118;PAU_050_MGFE_2023;weather26;PAU_050;2024;default_cut;GR;Grass_CLV4;52.687641;12.7287643;29.01;471;257;1.600088119506836;3.1442980766296387;1
EX119;PAU_051_MGFE_2023;weather26;PAU_051;2024;default_cut;GR;Grass_CLV4;52.68737;12.7295687;28.69;471;257;1.600088119506836;3.1442980766296387;1
EX120;PAU_052_MGFE_2023;weather26;PAU_052;2024;default_cut;GR;Grass_CLV4;52.6881232;12.7301555;28.95;471;257;1.600088119506836;3.1442980766296387;1
EX121;PAU_053_MGFE_2023;weather26;PAU_053;2024;default_cut;GR;Grass_CLV4;52.6893905;12.7299948;28.76;471;257;1.600088119506836;3.1442980766296387;1
EX122;PAU_054_MGFE_2023;weather26;PAU_054;2024;default_cut;GR;Grass_CLV4;52.6898137;12.7298358;28.93;471;257;1.600088119506836;3.1442980766296387;1
EX123;PAU_055_MGFE_2023;weather26;PAU_055;2024;default_cut;GR;Grass_CLV4;52.6889413;12.7292412;28.78;471;257;1.600088119506836;3.1442980766296387;1
EX124;PAU_056_MGFE_2023;weather26;PAU_056;2024;default_cut;GR;Grass_CLV4;52.6882364;12.7289724;28.86;471;257;1.600088119506836;3.1442980766296387;1
EX125;PAU_057_MGFE_2023;weather26;PAU_057;2024;default_cut;GR;Grass_CLV4;52.6904022;12.7326062;28.952136993408203;471;257;1.600088119506836;3.1442980766296387;
EX126;PAU_058_MGFE_2023;weather27;PAU_058;2024;default_cut;GR;Grass_CLV4;52.6916902;12.7344788;28.952136993408203;472;257;1.600088119506836;3.1442980766296387;
EX127;PAU_059_MGFE_2023;weather27;PAU_059;2024;default_cut;GR;Grass_CLV4;52.6914458;12.7337659;28.952136993408203;471;257;1.600088119506836;3.1442980766296387;
EX128;PAU_060_MGFE_2023;weather27;PAU_060;2024;default_cut;GR;Grass_CLV4;52.6915386;12.733726;28.952136993408203;471;257;1.600088119506836;3.1442980766296387;
EX129;PAU_061_MGFE_2023;weather27;PAU_061;2024;default_cut;GR;Grass_CLV4;52.6916846;12.7334548;28.952136993408203;471;257;1.600088119506836;3.1442980766296387;
EX130;PAU_062_MGFE_2023;weather27;PAU_062;2024;default_cut;GR;Grass_CLV4;52.6920748;12.7329653;28.952136993408203;471;257;1.600088119506836;3.1442980766296387;
EX131;PAU_063_MGFE_2023;weather26;PAU_063;2024;default_cut;GR;Grass_CLV4;52.6922606;12.7323667;28.952136993408203;471;257;1.600088119506836;3.1442980766296387;
EX132;PAU_064_MGFE_2023;weather26;PAU_064;2024;default_cut;GR;Grass_CLV4;52.6915845;12.7320427;28.952136993408203;471;257;1.600088119506836;3.1442980766296387;
EX133;PAU_065_MGFE_2023;weather26;PAU_065;2024;default_cut;GR;Grass_CLV4;52.6913145;12.7320084;28.952136993408203;471;257;1.600088119506836;3.1442980766296387;
EX134;PAU_066_MGFE_2023;weather26;PAU_066;2024;default_cut;GR;Grass_CLV4;52.690649;12.7307027;28.952136993408203;471;257;1.600088119506836;3.1442980766296387;
EX135;PAU_067_MGFE_2023;weather26;PAU_067;2024;default_cut;GR;Grass_CLV4;52.6904065;12.730947;28.952136993408203;471;257;1.600088119506836;3.1442980766296387;
EX136;PAU_068_MGFE_2023;weather27;PAU_068;2024;default_cut;GR;Grass_CLV4;52.69038;12.73334;28.952136993408203;471;257;1.600088119506836;3.1442980766296387;
EX137;PAU_069_MGFE_2024;weather27;PAU_069;2024;default_cut;GR;Grass_CLV4;52.6902443;12.7354937;29.37;472;257;1.600088119506836;3.1442980766296387;1
EX138;PAU_070_MGFE_2024;weather27;PAU_070;2024;default_cut;GR;Grass_CLV4;52.6900414;12.7347343;28.88;472;257;1.600088119506836;3.1442980766296387;1
EX139;PAU_071_MGFE_2024;weather27;PAU_071;2024;default_cut;GR;Grass_CLV4;52.6904179;12.7342282;29.17;472;257;1.600088119506836;3.1442980766296387;1
EX140;PAU_072_MGFE_2024;weather26;PAU_072;2024;default_cut;GR;Grass_CLV4;52.6911458;12.7289006;28.79;471;257;1.600088119506836;3.1442980766296387;1
EX141;PAU_073_MGFE_2024;weather26;PAU_073;2024;default_cut;GR;Grass_CLV4;52.6921895;12.7285287;28.83;471;257;1.600088119506836;3.1442980766296387;1
EX142;PAU_074_MGFE_2024;weather24;PAU_074;2024;default_cut;GR;Grass_CLV4;52.6926154;12.7288122;29.31;471;257;1.600088119506836;3.1442980766296387;1
EX143;PAU_075_MGFE_2024;weather24;PAU_075;2024;default_cut;GR;Grass_CLV4;52.6928913;12.7291274;28.87;471;257;0.6555288434028625;2.6996707916259766;1
EX144;PAU_076_MGFE_2024;weather24;PAU_076;2024;default_cut;GR;Grass_CLV4;52.6928291;12.7279821;29.12;471;257;0.6555288434028625;2.6996707916259766;1
EX145;PAU_077_MGFE_2024;weather26;PAU_077;2024;default_cut;GR;Grass_CLV4;52.691499;12.7279325;28.74;471;257;1.600088119506836;3.1442980766296387;1
EX146;PAU_078_MGFE_2024;weather24;PAU_078;2024;default_cut;GR;Grass_CLV4;52.6938763;12.7274451;28.72;471;257;0.6555288434028625;2.6996707916259766;1
EX147;PAU_079_MGFE_2024;weather24;PAU_079;2024;default_cut;GR;Grass_CLV4;52.6944151;12.7277555;28.92;471;256;0.6555288434028625;2.6996707916259766;1
EX148;PAU_080_MGFE_2024;weather24;PAU_080;2024;default_cut;GR;Grass_CLV4;52.6946401;12.7290357;29.13;471;256;0.6555288434028625;2.6996707916259766;1
EX149;PAU_081_MGFE_2024;weather24;PAU_081;2024;default_cut;GR;Grass_CLV4;52.6948785;12.7294913;29.16;471;256;0.6555288434028625;2.6996707916259766;1
EX150;PAU_082_MGFE_2024;weather26;PAU_082;2024;default_cut;GR;Grass_CLV4;52.6916393;12.727303;28.77;471;257;1.600088119506836;3.1442980766296387;1
EX151;PAU_083_MGFE_2024;weather26;PAU_083;2024;default_cut;GR;Grass_CLV4;52.6915185;12.7266814;28.67;471;257;1.600088119506836;3.1442980766296387;1
EX152;PAU_084_MGFE_2024;weather26;PAU_084;2024;default_cut;GR;Grass_CLV4;52.6911672;12.726625;28.65;471;257;1.600088119506836;3.1442980766296387;1
EX153;PAU_085_MGFE_2024;weather26;PAU_085;2024;default_cut;GR;Grass_CLV4;52.6911057;12.7255042;28.54;471;257;1.600088119506836;3.1442980766296387;1
EX154;PAU_086_MGFE_2024;weather26;PAU_086;2024;default_cut;GR;Grass_CLV4;52.6908625;12.7255981;28.73;471;257;1.600088119506836;3.1442980766296387;1
EX155;PAU_087_MGFE_2024;weather26;PAU_087;2024;default_cut;GR;Grass_CLV4;52.692333;12.7260845;28.79;471;257;1.600088119506836;3.1442980766296387;1
EX156;PAU_088_MGFE_2024;weather26;PAU_088;2024;default_cut;GR;Grass_CLV4;52.6907845;12.7320369;28.71;471;257;1.600088119506836;3.1442980766296387;1
EX157;PAU_089_MGFE_2024;weather26;PAU_089;2024;default_cut;GR;Grass_CLV4;52.6910201;12.7326335;29.03;471;257;1.600088119506836;3.1442980766296387;1
EX158;PAU_090_MGFE_2024;weather26;PAU_090;2024;default_cut;GR;Grass_CLV4;52.6917157;12.7326874;29.36;471;257;1.600088119506836;3.1442980766296387;1
EX159;PAU_091_MGFE_2024;weather26;PAU_091;2024;default_cut;GR;Grass_CLV4;52.6923888;12.7320673;29.16;471;257;1.600088119506836;3.1442980766296387;1
EX160;PAU_092_MGFE_2024;weather26;PAU_092;2024;default_cut;GR;Grass_CLV4;52.6909499;12.7300075;28.73;471;257;1.600088119506836;3.1442980766296387;1
EX161;PAU_093_MGFE_2024;weather26;PAU_093;2024;default_cut;GR;Grass_CLV4;52.691147;12.7304486;29.21;471;257;1.600088119506836;3.1442980766296387;1
