Soil;Depth;Sand;Silt;Clay;Corg;pH;Bulk_density;KA5TextureClass;Buek_SoilID
BAR_016;30;0.86;0.12;0.02;27.52;;1700;fSms;234208
BAR_016;60;0.86;0.12;0.02;35.7;;1700;fSms;
BAR_016;90;0.86;0.12;0.02;38.57;;1700;fSms;
BAR_017;30;0.86;0.12;0.02;11.49;;1700;fSms;234208
BAR_017;60;0.86;0.12;0.02;2.22;;1700;fSms;
BAR_017;90;0.86;0.12;0.02;2.5;;1700;fSms;
BAR_018;30;0.86;0.12;0.02;35.36;;1700;fSms;234208
BAR_018;60;0.86;0.12;0.02;39.55;;1700;fSms;
BAR_018;90;0.86;0.12;0.02;32.17;;1700;fSms;
BAR_019;30;0.86;0.12;0.02;10.75;;1700;fSms;234208
BAR_019;60;0.86;0.12;0.02;3.27;;1700;fSms;
BAR_019;90;0.86;0.12;0.02;0.64;;1700;fSms;
BAR_020;30;0.86;0.12;0.02;20;;1700;fSms;234208
BAR_020;60;0.86;0.12;0.02;5.31;;1700;fSms;
BAR_020;90;0.86;0.12;0.02;1.65;;1700;fSms;
BAR_021;30;0.86;0.12;0.02;37.28;;1700;fSms;234208
BAR_021;60;0.86;0.12;0.02;40.95;;1700;fSms;
BAR_021;90;0.86;0.12;0.02;40.9;;1700;fSms;
BAR_022;30;0.86;0.12;0.02;12.44;;1700;fSms;234208
BAR_022;60;0.86;0.12;0.02;8.85;;1700;fSms;
BAR_022;90;0.86;0.12;0.02;10.89;;1700;fSms;
MSW_001;30;0.93;0.05;0.02;37.57;5.75;1700;Ss;314285
MSW_001;60;0.93;0.05;0.02;34.31;5.75;1700;Ss;
MSW_001;90;0.93;0.05;0.02;31.48;4.35;1700;Ss;
MSW_002;30;0.93;0.05;0.02;30.38;5.75;1700;Ss;314285
MSW_002;60;0.93;0.05;0.02;40.68;5.75;1700;Ss;
MSW_002;90;0.93;0.05;0.02;38.5;4.35;1700;Ss;
MSW_003;30;0.93;0.05;0.02;16.6;5.75;1700;Ss;314285
MSW_003;60;0.93;0.05;0.02;15.71;5.75;1700;Ss;
MSW_003;90;0.93;0.05;0.02;33.09;4.35;1700;Ss;
MSW_004;30;0.93;0.05;0.02;23.49;5.75;1700;Ss;314285
MSW_004;60;0.93;0.05;0.02;33.51;5.75;1700;Ss;
MSW_004;90;0.93;0.05;0.02;31.03;4.35;1700;Ss;
MSW_005;30;0.93;0.05;0.02;26.47;5.75;1700;Ss;314285
MSW_005;60;0.93;0.05;0.02;31.13;5.75;1700;Ss;
MSW_005;90;0.93;0.05;0.02;15.8;4.35;1700;Ss;
MSW_006;30;0.93;0.05;0.02;26.26;5.75;1700;Ss;314285
MSW_006;60;0.93;0.05;0.02;11.96;5.75;1700;Ss;
MSW_006;90;0.93;0.05;0.02;4.15;4.35;1700;Ss;
MSW_007;30;0.93;0.05;0.02;16.74;5.75;1700;Ss;314285
MSW_007;60;0.93;0.05;0.02;24.76;5.75;1700;Ss;
MSW_007;90;0.93;0.05;0.02;20.06;4.35;1700;Ss;
MSW_008;30;0.93;0.05;0.02;23.83;5.75;1700;Ss;314285
MSW_008;60;0.93;0.05;0.02;43.03;5.75;1700;Ss;
MSW_008;90;0.93;0.05;0.02;34.46;4.35;1700;Ss;
MSW_009;30;0.93;0.05;0.02;12.62;5.75;1700;Ss;314285
MSW_009;60;0.93;0.05;0.02;25.46;5.75;1700;Ss;
MSW_009;90;0.93;0.05;0.02;14.05;4.35;1700;Ss;
MSW_010;30;0.93;0.05;0.02;18.74;5.75;1700;Ss;314285
MSW_010;60;0.93;0.05;0.02;32.14;5.75;1700;Ss;
MSW_010;90;0.93;0.05;0.02;22.68;4.35;1700;Ss;
MSW_011;30;0.93;0.05;0.02;14.15;5.75;1700;Ss;314285
MSW_011;60;0.93;0.05;0.02;22.19;5.75;1700;Ss;
MSW_011;90;0.93;0.05;0.02;26.01;4.35;1700;Ss;
MSW_012;30;0.93;0.05;0.02;16.97;5.75;1700;Ss;314285
MSW_012;60;0.93;0.05;0.02;21.42;5.75;1700;Ss;
MSW_012;90;0.93;0.05;0.02;21.55;4.35;1700;Ss;
MSW_013;30;0.93;0.05;0.02;7.74;5.75;1700;Ss;314285
MSW_013;60;0.93;0.05;0.02;2.4;5.75;1700;Ss;
MSW_013;90;0.93;0.05;0.02;0.43;4.35;1700;Ss;
MSW_014;30;0.93;0.05;0.02;14.4;5.75;1700;Ss;314285
MSW_014;60;0.93;0.05;0.02;25.56;5.75;1700;Ss;
MSW_014;90;0.93;0.05;0.02;39.3;4.35;1700;Ss;
MSW_015;30;0.93;0.05;0.02;16.44;5.75;1700;Ss;314285
MSW_015;60;0.93;0.05;0.02;34.41;5.75;1700;Ss;
MSW_015;90;0.93;0.05;0.02;26.06;4.35;1700;Ss;
MSW_016;30;0.93;0.05;0.02;25.95;5.75;1700;Ss;314285
MSW_016;60;0.93;0.05;0.02;31.13;5.75;1700;Ss;
MSW_016;90;0.93;0.05;0.02;28.85;4.35;1700;Ss;
MSW_017;30;0.93;0.05;0.02;5.55;5.75;1700;Ss;314285
MSW_017;60;0.93;0.05;0.02;2.13;5.75;1700;Ss;
MSW_017;90;0.93;0.05;0.02;0.53;4.35;1700;Ss;
MSW_018;30;0.93;0.05;0.02;8.04;5.75;1700;Ss;314285
MSW_018;60;0.93;0.05;0.02;8.28;5.75;1700;Ss;
MSW_018;90;0.93;0.05;0.02;6.13;4.35;1700;Ss;
MSW_019;30;0.93;0.05;0.02;12.48;5.75;1700;Ss;314285
MSW_019;60;0.93;0.05;0.02;22.1;5.75;1700;Ss;
MSW_019;90;0.93;0.05;0.02;27.05;4.35;1700;Ss;
MSW_020;30;0.93;0.05;0.02;9.37;5.75;1700;Ss;314285
MSW_020;60;0.93;0.05;0.02;19.29;5.75;1700;Ss;
MSW_020;90;0.93;0.05;0.02;36.14;4.35;1700;Ss;
MSW_021;30;0.93;0.05;0.02;28.49;5.75;1700;Ss;314285
MSW_021;60;0.93;0.05;0.02;36.13;5.75;1700;Ss;
MSW_021;90;0.93;0.05;0.02;34.26;4.35;1700;Ss;
MSW_022;30;0.93;0.05;0.02;11.56;5.75;1700;Ss;314285
MSW_022;60;0.93;0.05;0.02;21.06;5.75;1700;Ss;
MSW_022;90;0.93;0.05;0.02;15.9;4.35;1700;Ss;
MSW_023;30;0.93;0.05;0.02;20.04;5.75;1700;Ss;314285
MSW_023;60;0.93;0.05;0.02;23.31;5.75;1700;Ss;
MSW_023;90;0.93;0.05;0.02;17.82;4.35;1700;Ss;
MSW_024;30;0.93;0.05;0.02;15.67;5.75;1700;Ss;314285
MSW_024;60;0.93;0.05;0.02;32.55;5.75;1700;Ss;
MSW_024;90;0.93;0.05;0.02;30.78;4.35;1700;Ss;
MSW_025;30;0.93;0.05;0.02;14.99;5.75;1700;Ss;314285
MSW_025;60;0.93;0.05;0.02;29.49;5.75;1700;Ss;
MSW_025;90;0.93;0.05;0.02;31.6;4.35;1700;Ss;
MSW_026;30;0.93;0.05;0.02;13.7;5.75;1700;Ss;314285
MSW_026;60;0.93;0.05;0.02;27.96;5.75;1700;Ss;
MSW_026;90;0.93;0.05;0.02;31.8;4.35;1700;Ss;
MSW_027;30;0.93;0.05;0.02;21.05;5.75;1700;Ss;314285
MSW_027;60;0.93;0.05;0.02;32.64;5.75;1700;Ss;
MSW_027;90;0.93;0.05;0.02;31.44;4.35;1700;Ss;
MSW_028;30;0.93;0.05;0.02;26.3;5.75;1700;Ss;314285
MSW_028;60;0.93;0.05;0.02;25.59;5.75;1700;Ss;
MSW_028;90;0.93;0.05;0.02;34.73;4.35;1700;Ss;
MSW_044;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSW_044;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSW_044;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSW_045;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSW_045;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSW_045;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSW_046;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSW_046;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSW_046;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_029;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_029;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_029;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_030;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_030;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_030;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_031;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_031;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_031;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_032;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_032;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_032;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_033;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_033;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_033;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_034;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_034;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_034;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_035;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_035;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_035;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_036;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_036;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_036;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_037;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_037;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_037;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_038;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_038;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_038;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_039;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_039;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_039;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_040;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_040;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_040;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_041;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_041;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_041;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_042;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_042;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_042;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
MSX_043;30;0.93;0.05;0.02;87.2093;5.75;1700;Ss;314285
MSX_043;60;0.93;0.05;0.02;29.0698;5.75;1700;Ss;
MSX_043;90;0.93;0.05;0.02;29.0698;4.35;1700;Ss;
PAU_001;30;0.93;0.05;0.02;15.21;6.5;1700;Ss;394246
PAU_001;60;0.93;0.05;0.02;3.52;6.5;1700;Ss;
PAU_001;90;0.93;0.05;0.02;3.13;7.0;1700;Ss;
PAU_002;30;0.93;0.05;0.02;8.53;6.5;1700;Ss;394246
PAU_002;60;0.93;0.05;0.02;4.75;6.5;1700;Ss;
PAU_002;90;0.93;0.05;0.02;1.59;7.0;1700;Ss;
PAU_003;30;0.93;0.05;0.02;36.93;6.5;1700;Ss;394246
PAU_003;60;0.93;0.05;0.02;39.33;6.5;1700;Ss;
PAU_003;90;0.93;0.05;0.02;37.5;7.0;1700;Ss;
PAU_004;30;0.93;0.05;0.02;10.54;6.5;1700;Ss;394246
PAU_004;60;0.93;0.05;0.02;5.34;6.5;1700;Ss;
PAU_004;90;0.93;0.05;0.02;4.39;7.0;1700;Ss;
PAU_005;30;0.93;0.05;0.02;35.75;6.5;1700;Ss;394246
PAU_005;60;0.93;0.05;0.02;32.58;6.5;1700;Ss;
PAU_005;90;0.93;0.05;0.02;15.24;7.0;1700;Ss;
PAU_006;30;0.93;0.05;0.02;30.56;6.5;1700;Ss;394246
PAU_006;60;0.93;0.05;0.02;8.07;6.5;1700;Ss;
PAU_006;90;0.93;0.05;0.02;6.28;7.0;1700;Ss;
PAU_007;30;0.93;0.05;0.02;18.38;6.5;1700;Ss;394250
PAU_007;60;0.93;0.05;0.02;3.35;6.5;1700;Ss;
PAU_007;90;0.93;0.05;0.02;3.64;6.5;1700;Ss;
PAU_008;30;0.93;0.05;0.02;31.49;6.5;1700;Ss;394250
PAU_008;60;0.93;0.05;0.02;6.67;6.5;1700;Ss;
PAU_008;90;0.93;0.05;0.02;7.45;6.5;1700;Ss;
PAU_009;30;0.93;0.05;0.02;35.9;6.5;1700;Ss;394250
PAU_009;60;0.93;0.05;0.02;15.25;6.5;1700;Ss;
PAU_009;90;0.93;0.05;0.02;6.46;6.5;1700;Ss;
PAU_010;30;0.93;0.05;0.02;10.66;6.5;1700;Ss;394250
PAU_010;60;0.93;0.05;0.02;13.51;6.5;1700;Ss;
PAU_010;90;0.93;0.05;0.02;7.08;6.5;1700;Ss;
PAU_011;30;0.93;0.05;0.02;12.86;6.5;1700;Ss;394246
PAU_011;60;0.93;0.05;0.02;13.08;6.5;1700;Ss;
PAU_011;90;0.93;0.05;0.02;5.47;7.0;1700;Ss;
PAU_012;30;0.93;0.05;0.02;9.58;6.5;1700;Ss;394246
PAU_012;60;0.93;0.05;0.02;4.92;6.5;1700;Ss;
PAU_012;90;0.93;0.05;0.02;4.31;7.0;1700;Ss;
PAU_013;30;0.93;0.05;0.02;37.14;6.5;1700;Ss;394246
PAU_013;60;0.93;0.05;0.02;25.67;6.5;1700;Ss;
PAU_013;90;0.93;0.05;0.02;5.37;7.0;1700;Ss;
PAU_014;30;0.93;0.05;0.02;3.91;6.5;1700;Ss;394246
PAU_014;60;0.93;0.05;0.02;34.46;6.5;1700;Ss;
PAU_014;90;0.93;0.05;0.02;23.68;7.0;1700;Ss;
PAU_015;30;0.93;0.05;0.02;39.06;6.5;1700;Ss;394246
PAU_015;60;0.93;0.05;0.02;21.93;6.5;1700;Ss;
PAU_015;90;0.93;0.05;0.02;4.99;7.0;1700;Ss;
PAU_016;30;0.93;0.05;0.02;39.71;6.5;1700;Ss;394246
PAU_016;60;0.93;0.05;0.02;40.84;6.5;1700;Ss;
PAU_016;90;0.93;0.05;0.02;22.36;7.0;1700;Ss;
PAU_017;30;0.93;0.05;0.02;37.3;6.5;1700;Ss;394246
PAU_017;60;0.93;0.05;0.02;21.26;6.5;1700;Ss;
PAU_017;90;0.93;0.05;0.02;9.68;7.0;1700;Ss;
PAU_018;30;0.93;0.05;0.02;19.32;6.5;1700;Ss;394246
PAU_018;60;0.93;0.05;0.02;10.33;6.5;1700;Ss;
PAU_018;90;0.93;0.05;0.02;2.29;7.0;1700;Ss;
PAU_019;30;0.93;0.05;0.02;33.62;6.5;1700;Ss;394246
PAU_019;60;0.93;0.05;0.02;5.65;6.5;1700;Ss;
PAU_019;90;0.93;0.05;0.02;3.68;7.0;1700;Ss;
PAU_020;30;0.93;0.05;0.02;38.92;6.5;1700;Ss;394246
PAU_020;60;0.93;0.05;0.02;38.16;6.5;1700;Ss;
PAU_020;90;0.93;0.05;0.02;14.72;7.0;1700;Ss;
PAU_021;30;0.93;0.05;0.02;26.29;6.5;1700;Ss;394246
PAU_021;60;0.93;0.05;0.02;4.79;6.5;1700;Ss;
PAU_021;90;0.93;0.05;0.02;1.81;7.0;1700;Ss;
PAU_022;30;0.93;0.05;0.02;7.59;6.5;1700;Ss;394246
PAU_022;60;0.93;0.05;0.02;5.66;6.5;1700;Ss;
PAU_022;90;0.93;0.05;0.02;0.83;7.0;1700;Ss;
PAU_023;30;0.93;0.05;0.02;38.98;6.5;1700;Ss;394246
PAU_023;60;0.93;0.05;0.02;43.11;6.5;1700;Ss;
PAU_023;90;0.93;0.05;0.02;42.63;7.0;1700;Ss;
PAU_024;30;0.93;0.05;0.02;36.33;6.5;1700;Ss;394246
PAU_024;60;0.93;0.05;0.02;22.95;6.5;1700;Ss;
PAU_024;90;0.93;0.05;0.02;6.28;7.0;1700;Ss;
PAU_025;30;0.93;0.05;0.02;36.9;6.5;1700;Ss;394246
PAU_025;60;0.93;0.05;0.02;26.96;6.5;1700;Ss;
PAU_025;90;0.93;0.05;0.02;15.08;7.0;1700;Ss;
PAU_026;30;0.93;0.05;0.02;38.31;6.5;1700;Ss;394246
PAU_026;60;0.93;0.05;0.02;38.12;6.5;1700;Ss;
PAU_026;90;0.93;0.05;0.02;26.2;7.0;1700;Ss;
PAU_027;30;0.93;0.05;0.02;9.34;6.5;1700;Ss;394246
PAU_027;60;0.93;0.05;0.02;1.84;6.5;1700;Ss;
PAU_027;90;0.93;0.05;0.02;1.15;7.0;1700;Ss;
PAU_028;30;0.93;0.05;0.02;13.16;6.5;1700;Ss;394246
PAU_028;60;0.93;0.05;0.02;3.14;6.5;1700;Ss;
PAU_028;90;0.93;0.05;0.02;0.1;7.0;1700;Ss;
PAU_029;30;0.93;0.05;0.02;8.48;6.5;1700;Ss;394246
PAU_029;60;0.93;0.05;0.02;3.9;6.5;1700;Ss;
PAU_029;90;0.93;0.05;0.02;1.39;7.0;1700;Ss;
PAU_030;30;0.93;0.05;0.02;30.96;6.5;1700;Ss;394246
PAU_030;60;0.93;0.05;0.02;6.55;6.5;1700;Ss;
PAU_030;90;0.93;0.05;0.02;3.3;7.0;1700;Ss;
PAU_031;30;0.93;0.05;0.02;37.52;6.5;1700;Ss;394246
PAU_031;60;0.93;0.05;0.02;28.52;6.5;1700;Ss;
PAU_031;90;0.93;0.05;0.02;9.46;7.0;1700;Ss;
PAU_032;30;0.93;0.05;0.02;11.67;6.5;1700;Ss;394250
PAU_032;60;0.93;0.05;0.02;4.28;6.5;1700;Ss;
PAU_032;90;0.93;0.05;0.02;2.8;6.5;1700;Ss;
PAU_033;30;0.93;0.05;0.02;17.91;6.5;1700;Ss;394250
PAU_033;60;0.93;0.05;0.02;6.4;6.5;1700;Ss;
PAU_033;90;0.93;0.05;0.02;2.49;6.5;1700;Ss;
PAU_034;30;0.93;0.05;0.02;21.46;6.5;1700;Ss;394246
PAU_034;60;0.93;0.05;0.02;10.98;6.5;1700;Ss;
PAU_034;90;0.93;0.05;0.02;2.7;7.0;1700;Ss;
PAU_035;30;0.93;0.05;0.02;36.05;6.5;1700;Ss;394246
PAU_035;60;0.93;0.05;0.02;7.03;6.5;1700;Ss;
PAU_035;90;0.93;0.05;0.02;3.58;7.0;1700;Ss;
PAU_036;30;0.93;0.05;0.02;34.91;6.5;1700;Ss;394246
PAU_036;60;0.93;0.05;0.02;10.8;6.5;1700;Ss;
PAU_036;90;0.93;0.05;0.02;2.58;7.0;1700;Ss;
PAU_037;30;0.93;0.05;0.02;7.04;6.5;1700;Ss;394250
PAU_037;60;0.93;0.05;0.02;1.15;6.5;1700;Ss;
PAU_037;90;0.93;0.05;0.02;0.13;6.5;1700;Ss;
PAU_038;30;0.93;0.05;0.02;14.58;6.5;1700;Ss;394246
PAU_038;60;0.93;0.05;0.02;5.29;6.5;1700;Ss;
PAU_038;90;0.93;0.05;0.02;2.97;7.0;1700;Ss;
PAU_039;30;0.93;0.05;0.02;27.26;6.5;1700;Ss;394246
PAU_039;60;0.93;0.05;0.02;2.8;6.5;1700;Ss;
PAU_039;90;0.93;0.05;0.02;4.35;7.0;1700;Ss;
PAU_040;30;0.93;0.05;0.02;37.88;6.5;1700;Ss;394250
PAU_040;60;0.93;0.05;0.02;42.3;6.5;1700;Ss;
PAU_040;90;0.93;0.05;0.02;43.2;6.5;1700;Ss;
PAU_041;30;0.93;0.05;0.02;34.71;6.5;1700;Ss;394250
PAU_041;60;0.93;0.05;0.02;18.41;6.5;1700;Ss;
PAU_041;90;0.93;0.05;0.02;3.37;6.5;1700;Ss;
PAU_042;30;0.93;0.05;0.02;23.48;6.5;1700;Ss;394250
PAU_042;60;0.93;0.05;0.02;7.05;6.5;1700;Ss;
PAU_042;90;0.93;0.05;0.02;0.38;6.5;1700;Ss;
PAU_043;30;0.93;0.05;0.02;37.97;6.5;1700;Ss;394250
PAU_043;60;0.93;0.05;0.02;14.05;6.5;1700;Ss;
PAU_043;90;0.93;0.05;0.02;10.91;6.5;1700;Ss;
PAU_044;30;0.93;0.05;0.02;26.31;6.5;1700;Ss;394250
PAU_044;60;0.93;0.05;0.02;7.85;6.5;1700;Ss;
PAU_044;90;0.93;0.05;0.02;1.78;6.5;1700;Ss;
PAU_045;30;0.93;0.05;0.02;35.81;6.5;1700;Ss;394250
PAU_045;60;0.93;0.05;0.02;16.1;6.5;1700;Ss;
PAU_045;90;0.93;0.05;0.02;2.98;6.5;1700;Ss;
PAU_046;30;0.93;0.05;0.02;2.89;6.5;1700;Ss;394250
PAU_046;60;0.93;0.05;0.02;0.6;6.5;1700;Ss;
PAU_046;90;0.93;0.05;0.02;0.11;6.5;1700;Ss;
PAU_047;30;0.93;0.05;0.02;30.38;6.5;1700;Ss;394246
PAU_047;60;0.93;0.05;0.02;28.56;6.5;1700;Ss;
PAU_047;90;0.93;0.05;0.02;34.15;7.0;1700;Ss;
PAU_048;30;0.93;0.05;0.02;39;6.5;1700;Ss;394246
PAU_048;60;0.93;0.05;0.02;19.05;6.5;1700;Ss;
PAU_048;90;0.93;0.05;0.02;18.48;7.0;1700;Ss;
PAU_049;30;0.93;0.05;0.02;38.44;6.5;1700;Ss;394244
PAU_049;60;0.93;0.05;0.02;42.65;6.5;1700;Ss;
PAU_049;90;0.93;0.05;0.02;43.8;7.0;1700;Ss;
PAU_050;30;0.93;0.05;0.02;22.01;6.5;1700;Ss;394244
PAU_050;60;0.93;0.05;0.02;22.01;6.5;1700;Ss;
PAU_050;90;0.93;0.05;0.02;7.26;7.0;1700;Ss;
PAU_051;30;0.93;0.05;0.02;38.73;6.5;1700;Ss;394244
PAU_051;60;0.93;0.05;0.02;37.33;6.5;1700;Ss;
PAU_051;90;0.93;0.05;0.02;38.51;7.0;1700;Ss;
PAU_052;30;0.93;0.05;0.02;33.55;6.5;1700;Ss;394244
PAU_052;60;0.93;0.05;0.02;16.25;6.5;1700;Ss;
PAU_052;90;0.93;0.05;0.02;3.88;7.0;1700;Ss;
PAU_053;30;0.93;0.05;0.02;38.43;6.5;1700;Ss;394244
PAU_053;60;0.93;0.05;0.02;38.51;6.5;1700;Ss;
PAU_053;90;0.93;0.05;0.02;15.35;7.0;1700;Ss;
PAU_054;30;0.93;0.05;0.02;22.7;6.5;1700;Ss;394244
PAU_054;60;0.93;0.05;0.02;2.66;6.5;1700;Ss;
PAU_054;90;0.93;0.05;0.02;2.81;7.0;1700;Ss;
PAU_055;30;0.93;0.05;0.02;38.21;6.5;1700;Ss;394244
PAU_055;60;0.93;0.05;0.02;40.06;6.5;1700;Ss;
PAU_055;90;0.93;0.05;0.02;37.54;7.0;1700;Ss;
PAU_056;30;0.93;0.05;0.02;36.96;6.5;1700;Ss;394244
PAU_056;60;0.93;0.05;0.02;9.23;6.5;1700;Ss;
PAU_056;90;0.93;0.05;0.02;4.61;7.0;1700;Ss;
PAU_057;30;0.93;0.05;0.02;174.4186;6.5;1700;Ss;394246
PAU_057;60;0.93;0.05;0.02;29.0698;6.5;1700;Ss;
PAU_057;90;0.93;0.05;0.02;29.0698;7.0;1700;Ss;
PAU_058;30;0.93;0.05;0.02;174.4186;6.5;1700;Ss;394246
PAU_058;60;0.93;0.05;0.02;29.0698;6.5;1700;Ss;
PAU_058;90;0.93;0.05;0.02;29.0698;7.0;1700;Ss;
PAU_059;30;0.93;0.05;0.02;174.4186;6.5;1700;Ss;394246
PAU_059;60;0.93;0.05;0.02;29.0698;6.5;1700;Ss;
PAU_059;90;0.93;0.05;0.02;29.0698;7.0;1700;Ss;
PAU_060;30;0.93;0.05;0.02;174.4186;6.5;1700;Ss;394246
