Soil;Depth;Sand;Silt;Clay;Corg;pH;Bulk_density;KA5TextureClass;Buek_SoilID
BAR_001;30;0.86;0.12;0.02;40.47;;1700;fSms;234208
BAR_001;60;0.86;0.12;0.02;45.41;;1700;fSms;
BAR_001;90;0.86;0.12;0.02;43.41;;1700;fSms;
BAR_002;30;0.86;0.12;0.02;40.88;;1700;fSms;234208
BAR_002;60;0.86;0.12;0.02;46.46;;1700;fSms;
BAR_002;90;0.86;0.12;0.02;44.84;;1700;fSms;
BAR_003;30;0.86;0.12;0.02;33.22;;1700;fSms;234208
BAR_003;60;0.86;0.12;0.02;26.69;;1700;fSms;
BAR_003;90;0.86;0.12;0.02;32.46;;1700;fSms;
BAR_004;30;0.86;0.12;0.02;37.82;;1700;fSms;234208
BAR_004;60;0.86;0.12;0.02;43.83;;1700;fSms;
BAR_004;90;0.86;0.12;0.02;43.25;;1700;fSms;
BAR_005;30;0.86;0.12;0.02;30.69;;1700;fSms;234208
BAR_005;60;0.86;0.12;0.02;40.71;;1700;fSms;
BAR_005;90;0.86;0.12;0.02;26.6;;1700;fSms;
BAR_006;30;0.86;0.12;0.02;34.26;;1700;fSms;234208
BAR_006;60;0.86;0.12;0.02;39.55;;1700;fSms;
BAR_006;90;0.86;0.12;0.02;20.01;;1700;fSms;
BAR_007;30;0.86;0.12;0.02;33.14;;1700;fSms;234208
BAR_007;60;0.86;0.12;0.02;42.45;;1700;fSms;
BAR_007;90;0.86;0.12;0.02;6.18;;1700;fSms;
BAR_008;30;0.86;0.12;0.02;32.83;;1700;fSms;234208
BAR_008;60;0.86;0.12;0.02;35.02;;1700;fSms;
BAR_008;90;0.86;0.12;0.02;37.27;;1700;fSms;
BAR_009;30;0.86;0.12;0.02;31.35;;1700;fSms;234208
BAR_009;60;0.86;0.12;0.02;36.41;;1700;fSms;
BAR_009;90;0.86;0.12;0.02;36.54;;1700;fSms;
BAR_010;30;0.86;0.12;0.02;30.16;;1700;fSms;234208
BAR_010;60;0.86;0.12;0.02;39.92;;1700;fSms;
BAR_010;90;0.86;0.12;0.02;32.09;;1700;fSms;
BAR_011;30;0.86;0.12;0.02;33.09;;1700;fSms;234208
BAR_011;60;0.86;0.12;0.02;38.75;;1700;fSms;
BAR_011;90;0.86;0.12;0.02;39.39;;1700;fSms;
BAR_012;30;0.86;0.12;0.02;29.21;;1700;fSms;234208
BAR_012;60;0.86;0.12;0.02;29.58;;1700;fSms;
BAR_012;90;0.86;0.12;0.02;33.6;;1700;fSms;
BAR_013;30;0.86;0.12;0.02;30.71;;1700;fSms;234208
BAR_013;60;0.86;0.12;0.02;31.93;;1700;fSms;
BAR_013;90;0.86;0.12;0.02;34.52;;1700;fSms;
BAR_014;30;0.86;0.12;0.02;19.42;;1700;fSms;234208
BAR_014;60;0.86;0.12;0.02;21.32;;1700;fSms;
BAR_014;90;0.86;0.12;0.02;25.44;;1700;fSms;
BAR_015;30;0.86;0.12;0.02;28.61;;1700;fSms;234208
BAR_015;60;0.86;0.12;0.02;33.81;;1700;fSms;
BAR_015;90;0.86;0.12;0.02;34.14;;1700;fSms;
