Soil;Depth;Clay;Corg;Bulk_density;Sat;Fc;Pwp;KA5;CN
PAU_069;10;0;9.18;944.76;0.702;0.6;0.179;HN;11.48
PAU_069;35;0;8.37;944.76;0.757;0.73;0.28;HN;11.52
PAU_069;55;0;5.13;944.76;0.751;0.731;0.276;HN;11.66
PAU_069;85;0;2.22;944.76;0.893;0.832;0.355;HN;11.05
PAU_069;95;0;1.64;944.76;0.893;0.832;0.355;HN;10.93
PAU_069;100;0;1.64;944.76;0.5;0.16;0.06;FSMS;10.93
PAU_071;10;0;15.26;956.24;0.702;0.6;0.179;HN;11.92
PAU_071;35;0;13.58;956.24;0.757;0.73;0.28;HN;11.95
PAU_071;55;0;6.87;956.24;0.751;0.731;0.276;HN;12.05
PAU_071;85;0;2.88;956.24;0.893;0.832;0.355;HN;10.76
PAU_071;95;0;2.08;956.24;0.893;0.832;0.355;HN;10.95
PAU_071;100;0;2.08;956.24;0.5;0.16;0.06;FSMS;10.95
PAU_072;10;0;30.85;357.1;0.702;0.6;0.179;HN;12.39
PAU_072;35;0;27.89;357.1;0.757;0.73;0.28;HN;12.88
PAU_072;55;0;16.05;357.1;0.751;0.731;0.276;HN;14.86
PAU_072;85;0;14.58;357.1;0.893;0.832;0.355;HN;14.50
PAU_072;95;0;14.29;357.1;0.893;0.832;0.355;HN;14.43
PAU_072;100;0;14.29;357.1;0.5;0.16;0.06;FSMS;14.43
PAU_074;10;0;10.83;1157.72;0.702;0.6;0.179;HN;11.28
PAU_074;35;0;9.30;1157.72;0.757;0.73;0.28;HN;11.22
PAU_074;55;0;3.19;1157.72;0.751;0.731;0.276;HN;11
PAU_074;85;0;1.48;1157.72;0.893;0.832;0.355;HN;9.82
PAU_074;95;0;1.15;1157.72;0.893;0.832;0.355;HN;9.58
PAU_074;100;0;1.15;1157.72;0.5;0.16;0.06;FSMS;9.68
PAU_075;10;0;29.29;733.06;0.702;0.6;0.179;HN;12.2
PAU_075;35;0;24.36;733.06;0.757;0.73;0.28;HN;12.2
PAU_075;55;0;4.64;733.06;0.751;0.731;0.276;HN;12.21
PAU_075;85;0;1.87;733.06;0.893;0.832;0.355;HN;13.04
PAU_075;95;0;1.32;733.06;0.893;0.832;0.355;HN;13.2
PAU_075;100;0;1.32;733.06;0.5;0.16;0.06;FSMS;13.2
PAU_076;10;0;9.32;1345.72;0.702;0.6;0.179;HN;12.1
PAU_076;35;0;7.81;1345.72;0.757;0.73;0.28;HN;12.01
PAU_076;55;0;1.75;1345.72;0.751;0.731;0.276;HN;11.67
PAU_076;85;0;2.15;1345.72;0.893;0.832;0.355;HN;12.27
PAU_076;95;0;2.23;1345.72;0.893;0.832;0.355;HN;12.39
PAU_076;100;0;2.23;1345.72;0.5;0.16;0.06;FSMS;12.39
PAU_078;10;0;38.48;385.24;0.702;0.6;0.179;HN;11.91
PAU_078;35;0;38.26;385.24;0.757;0.73;0.28;HN;12.68
PAU_078;55;0;37.39;385.24;0.751;0.731;0.276;HN;15.78
PAU_078;85;0;13.70;385.24;0.893;0.832;0.355;HN;15.07
PAU_078;95;0;8.96;385.24;0.893;0.832;0.355;HN;14.93
PAU_078;100;0;8.96;385.24;0.5;0.16;0.06;FSMS;14.93
PAU_081;10;0;19.93;623.2;0.702;0.6;0.179;HN;12.46
PAU_081;35;0;16.51;623.2;0.757;0.73;0.28;HN;12.41
PAU_081;55;0;2.81;623.2;0.751;0.731;0.276;HN;12.22
PAU_081;85;0;1.30;623.2;0.893;0.832;0.355;HN;12.45
PAU_081;95;0;1;623.2;0.893;0.832;0.355;HN;12.5
PAU_081;100;0;1;623.2;0.5;0.16;0.06;FSMS;12.5
PAU_085;10;0;41.82;336.8;0.702;0.6;0.179;HN;12.95
PAU_085;35;0;42.44;336.8;0.757;0.73;0.28;HN;13.25
PAU_085;55;0;44.94;336.8;0.751;0.731;0.276;HN;14.45
PAU_085;85;0;44.55;336.8;0.893;0.832;0.355;HN;14.1
PAU_085;95;0;44.47;336.8;0.893;0.832;0.355;HN;14.03
PAU_085;100;0;44.47;336.8;0.5;0.16;0.06;FSMS;14.03
PAU_086;10;0;40.23;367.38;0.702;0.6;0.179;HN;12.15
