Soil;Depth;Clay;Corg;Bulk_density;Sat;Fc;Pwp;KA5;CN
PAU_086;35;0;40.24;367.38;0.757;0.73;0.28;HN;12.52
PAU_086;55;0;40.27;367.38;0.751;0.731;0.276;HN;13.98
PAU_086;85;0;36.68;367.38;0.893;0.832;0.355;HN;13.6
PAU_086;95;0;35.96;367.38;0.893;0.832;0.355;HN;13.52
PAU_086;100;0;35.96;367.38;0.5;0.16;0.06;FSMS;13.52
PAU_089;10;0;25.69;521.42;0.702;0.6;0.179;HN;12.59
PAU_089;35;0;22.47;521.42;0.757;0.73;0.28;HN;12.57
PAU_089;55;0;9.61;521.42;0.751;0.731;0.276;HN;12.48
PAU_089;85;0;7.19;521.42;0.893;0.832;0.355;HN;12.44
PAU_089;95;0;6.71;521.42;0.893;0.832;0.355;HN;12.43
PAU_089;100;0;6.71;521.42;0.5;0.16;0.06;FSMS;12.43
PAU_093;10;0;14.39;863.12;0.702;0.6;0.179;HN;11.8
PAU_093;35;0;12.29;863.12;0.757;0.73;0.28;HN;11.79
PAU_093;55;0;3.87;863.12;0.751;0.731;0.276;HN;11.73
PAU_093;85;0;2.35;863.12;0.893;0.832;0.355;HN;11.96
PAU_093;95;0;2.04;863.12;0.893;0.832;0.355;HN;12
PAU_093;100;0;2.04;863.12;0.5;0.16;0.06;FSMS;12
PAU_096;10;0;21.57;381.8;0.702;0.6;0.179;HN;11.85
PAU_096;35;0;22.32;381.8;0.757;0.73;0.28;HN;12.25
PAU_096;55;0;25.3;381.8;0.751;0.731;0.276;HN;13.83
PAU_096;85;0;16.96;381.8;0.893;0.832;0.355;HN;13.39
PAU_096;95;0;15.29;381.8;0.893;0.832;0.355;HN;13.3
PAU_096;100;0;15.29;381.8;0.5;0.16;0.06;FSMS;13.3
PAU_098;10;0;31.79;514.86;0.702;0.6;0.179;HN;12.62
PAU_098;35;0;27.83;514.86;0.757;0.73;0.28;HN;12.88
PAU_098;55;0;11.98;514.86;0.751;0.731;0.276;HN;13.93
PAU_098;85;0;4.70;514.86;0.893;0.832;0.355;HN;15.19
PAU_098;95;0;3.24;514.86;0.893;0.832;0.355;HN;15.43
PAU_098;100;0;3.24;514.86;0.5;0.16;0.06;FSMS;15.43
PAU_099;10;0;39.08;291.8;0.702;0.6;0.179;HN;12.65
PAU_099;35;0;38.62;291.8;0.757;0.73;0.28;HN;13.09
PAU_099;55;0;36.77;291.8;0.751;0.731;0.276;HN;14.83
PAU_099;85;0;24.85;291.8;0.893;0.832;0.355;HN;13.16
PAU_099;95;0;22.46;291.8;0.893;0.832;0.355;HN;12.83
PAU_099;100;0;22.46;291.8;0.5;0.16;0.06;FSMS;12.83
PAU_102;10;0;38.15;405.9;0.702;0.6;0.179;HN;12.55
PAU_102;35;0;37.03;405.9;0.757;0.73;0.28;HN;13.08
PAU_102;55;0;32.55;405.9;0.751;0.731;0.276;HN;15.21
PAU_102;85;0;17.8;405.9;0.893;0.832;0.355;HN;13.39
PAU_102;95;0;14.85;405.9;0.893;0.832;0.355;HN;13.03
PAU_102;100;0;14.85;405.9;0.5;0.16;0.06;FSMS;13.03
PAU_103;10;0;8.11;1280.62;0.702;0.6;0.179;HN;11.59
PAU_103;35;0;7.59;1280.62;0.757;0.73;0.28;HN;11.56
PAU_103;55;0;5.5;1280.62;0.751;0.731;0.276;HN;11.46
PAU_103;85;0;1.63;1280.62;0.893;0.832;0.355;HN;10.87
PAU_103;95;0;0.86;1280.62;0.893;0.832;0.355;HN;10.75
PAU_103;100;0;0.86;1280.62;0.5;0.16;0.06;FSMS;10.75
PAU_105;10;0;27.61;469.42;0.702;0.6;0.179;HN;12.61
PAU_105;35;0;24.36;469.42;0.757;0.73;0.28;HN;12.83
PAU_105;55;0;11.38;469.42;0.751;0.731;0.276;HN;13.71
PAU_105;85;0;3.59;469.42;0.893;0.832;0.355;HN;12.86
PAU_105;95;0;2.03;469.42;0.893;0.832;0.355;HN;12.69
PAU_105;100;0;2.03;469.42;0.5;0.16;0.06;FSMS;12.69
SWK_024;25;0;9.78;669.1;0.763;0.729;0.283;HN;17.46
SWK_024;40;0;4.35;669.1;0.763;0.729;0.283;HN;17.97
SWK_024;50;0;1.64;669.1;0.763;0.729;0.283;HN;18.22
SWK_024;70;0;7.09;669.1;0.702;0.6;0.179;HN;18.33
SWK_024;100;0;12.53;669.1;0.893;0.832;0.355;HN;18.43
SWK_024;110;0;12.53;669.1;0.5;0.16;0.06;FSMS;18.43
SWK_025;25;0;35.42;358.98;0.763;0.729;0.283;HN;16.63
SWK_025;40;0;21.36;358.98;0.763;0.729;0.283;HN;18.98
SWK_025;50;0;31.84;358.98;0.763;0.729;0.283;HN;20.15
SWK_025;70;0;33.70;358.98;0.702;0.6;0.179;HN;19.24
SWK_025;100;0;35.55;358.98;0.893;0.832;0.355;HN;18.32
SWK_025;110;0;35.55;358.98;0.5;0.16;0.06;FSMS;18.32
SWK_026;25;0;9.03;989.04;0.763;0.729;0.283;HN;15.31
SWK_026;40;0;6.98;989.04;0.763;0.729;0.283;HN;15.54
SWK_026;50;0;5.95;989.04;0.763;0.729;0.283;HN;15.66
SWK_026;70;0;7.54;989.04;0.702;0.6;0.179;HN;12.79
SWK_026;100;0;9.13;989.04;0.893;0.832;0.355;HN;9.92
SWK_026;110;0;9.13;989.04;0.5;0.16;0.06;FSMS;9.92
SWK_027;25;0;5.7;798.48;0.763;0.729;0.283;HN;5
SWK_027;40;0;4.36;798.48;0.763;0.729;0.283;HN;12.8
SWK_027;50;0;3.69;798.48;0.763;0.729;0.283;HN;16.7
SWK_027;70;0;16.45;798.48;0.702;0.6;0.179;HN;18.71
SWK_027;100;0;29.2;798.48;0.893;0.832;0.355;HN;20.71
SWK_027;110;0;29.2;798.48;0.5;0.16;0.06;FSMS;20.71
SWK_028;25;0;31.76;383.92;0.763;0.729;0.283;HN;15.12
SWK_028;40;0;30.29;383.92;0.763;0.729;0.283;HN;17.83
SWK_028;50;0;29.56;383.92;0.763;0.729;0.283;HN;19.19
SWK_028;70;0;25.81;383.92;0.702;0.6;0.179;HN;18.79
SWK_028;100;0;22.05;383.92;0.893;0.832;0.355;HN;18.38
SWK_028;110;0;22.05;383.92;0.5;0.16;0.06;FSMS;18.38
SWK_029;25;0;31.8;421.9;0.763;0.729;0.283;HN;15.98
SWK_029;40;0;32.25;421.9;0.763;0.729;0.283;HN;18.07
SWK_029;50;0;32.48;421.9;0.763;0.729;0.283;HN;19.11
SWK_029;70;0;25.85;421.9;0.702;0.6;0.179;HN;18.62
SWK_029;100;0;19.21;421.9;0.893;0.832;0.355;HN;18.12
SWK_029;110;0;19.21;421.9;0.5;0.16;0.06;FSMS;18.12
SWK_031;25;0;32.76;430.36;0.763;0.729;0.283;HN;16.3
SWK_031;40;0;22.73;430.36;0.763;0.729;0.283;HN;18.27
SWK_031;50;0;17.72;430.36;0.763;0.729;0.283;HN;19.26
SWK_031;70;0;15.21;430.36;0.702;0.6;0.179;HN;17.77
SWK_031;100;0;12.69;430.36;0.893;0.832;0.355;HN;16.27
SWK_031;110;0;12.69;430.36;0.5;0.16;0.06;FSMS;16.27
SWK_032;25;0;34.43;368.54;0.763;0.729;0.283;HN;15.1
SWK_032;40;0;36.89;368.54;0.763;0.729;0.283;HN;15.94
SWK_032;50;0;38.12;368.54;0.763;0.729;0.283;HN;16.36
SWK_032;70;0;39.03;368.54;0.702;0.6;0.179;HN;17.1
SWK_032;100;0;39.93;368.54;0.893;0.832;0.355;HN;17.83
SWK_032;110;0;39.93;368.54;0.5;0.16;0.06;FSMS;17.83
SWK_033;25;0;23.85;552.02;0.763;0.729;0.283;HN;18.07
SWK_033;40;0;22.44;552.02;0.763;0.729;0.283;HN;18.85
SWK_033;50;0;21.74;552.02;0.763;0.729;0.283;HN;19.24
SWK_033;70;0;21.89;552.02;0.702;0.6;0.179;HN;19.21
SWK_033;100;0;22.04;552.02;0.893;0.832;0.355;HN;19.17
SWK_033;110;0;22.04;552.02;0.5;0.16;0.06;FSMS;19.17
SWS_034;16;0;31.51;218.38;0.779;0.71;0.281;HN;15.37
SWS_034;32;0;32.0;218.38;0.763;0.729;0.283;HN;15.49
SWS_034;50;0;35.45;218.38;0.814;0.799;0.25;HN;16.8
SWS_034;85;0;36.92;218.38;0.814;0.799;0.25;HN;17.44
SWS_034;105;0;37.51;218.38;0.893;0.832;0.355;HN;17.69
SWS_034;120;0;37.51;218.38;0.893;0.832;0.355;HN;17.69
SWS_034;130;0;37.51;218.38;0.893;0.832;0.355;HN;17.69
SWS_035;16;0;26.46;310.22;0.779;0.71;0.281;HN;13.85
SWS_035;32;0;26.79;310.22;0.763;0.729;0.283;HN;14.28
SWS_035;50;0;29.09;310.22;0.814;0.799;0.25;HN;17.32
SWS_035;85;0;31.18;310.22;0.814;0.799;0.25;HN;16.38
SWS_035;105;0;32.02;310.22;0.893;0.832;0.355;HN;16.01
SWS_035;120;0;32.02;310.22;0.893;0.832;0.355;HN;16.01
SWS_035;130;0;32.02;310.22;0.893;0.832;0.355;HN;16.01
SWS_036;16;0;31.9;274.52;0.779;0.71;0.281;HN;14.37
SWS_036;32;0;32.30;274.52;0.763;0.729;0.283;HN;14.68
SWS_036;50;0;35.07;274.52;0.814;0.799;0.25;HN;16.86
SWS_036;85;0;33.41;274.52;0.814;0.799;0.25;HN;16.87
SWS_036;105;0;32.74;274.52;0.893;0.832;0.355;HN;16.88
SWS_036;120;0;32.74;274.52;0.893;0.832;0.355;HN;16.88
SWS_036;130;0;32.74;274.52;0.893;0.832;0.355;HN;16.88
SWS_037;16;0;29.51;271.14;0.779;0.71;0.281;HN;14.05
SWS_037;32;0;30.56;271.14;0.763;0.729;0.283;HN;14.37
SWS_037;50;0;37.89;271.14;0.814;0.799;0.25;HN;16.62
SWS_037;85;0;38.28;271.14;0.814;0.799;0.25;HN;17.7
SWS_037;105;0;38.44;271.14;0.893;0.832;0.355;HN;18.13
SWS_037;120;0;38.44;271.14;0.893;0.832;0.355;HN;18.13
SWS_037;130;0;38.44;271.14;0.893;0.832;0.355;HN;18.13
SWS_038;16;0;32.22;243.04;0.779;0.71;0.281;HN;14.45
SWS_038;32;0;32.94;243.04;0.763;0.729;0.283;HN;14.73
SWS_038;50;0;37.94;243.04;0.814;0.799;0.25;HN;16.71
SWS_038;85;0;37.7;243.04;0.814;0.799;0.25;HN;16.77
SWS_038;105;0;37.6;243.04;0.893;0.832;0.355;HN;16.79
SWS_038;120;0;37.6;243.04;0.893;0.832;0.355;HN;16.79
SWS_038;130;0;37.6;243.04;0.893;0.832;0.355;HN;16.79
SWS_039;16;0;35.07;283.62;0.779;0.71;0.281;HN;14.92
SWS_039;32;0;35.58;283.62;0.763;0.729;0.283;HN;15.2
SWS_039;50;0;39.16;283.62;0.814;0.799;0.25;HN;17.18
SWS_039;85;0;36.66;283.62;0.814;0.799;0.25;HN;17.04
SWS_039;105;0;35.66;283.62;0.893;0.832;0.355;HN;16.98
SWS_039;120;0;35.66;283.62;0.893;0.832;0.355;HN;16.98
SWS_039;130;0;35.66;283.62;0.893;0.832;0.355;HN;16.98
SWS_040;16;0;32.99;247.78;0.779;0.71;0.281;HN;15.34
SWS_040;32;0;33.54;247.78;0.763;0.729;0.283;HN;15.56
SWS_040;50;0;37.38;247.78;0.814;0.799;0.25;HN;17.07
SWS_040;85;0;36.49;247.78;0.814;0.799;0.25;HN;17.16
SWS_040;105;0;36.13;247.78;0.893;0.832;0.355;HN;17.2
SWS_040;120;0;36.13;247.78;0.893;0.832;0.355;HN;17.2
SWS_040;130;0;36.13;247.78;0.893;0.832;0.355;HN;17.2
SWS_041;16;0;29.82;303.56;0.779;0.71;0.281;HN;14.84
SWS_041;32;0;30.71;303.56;0.763;0.729;0.283;HN;15.52
SWS_041;50;0;36.96;303.56;0.814;0.799;0.25;HN;20.31
SWS_041;85;0;38.87;303.56;0.814;0.799;0.25;HN;19.89
SWS_041;105;0;39.63;303.56;0.893;0.832;0.355;HN;19.72
SWS_041;120;0;39.63;303.56;0.893;0.832;0.355;HN;19.72
SWS_041;130;0;39.63;303.56;0.893;0.832;0.355;HN;19.72
SWS_042;16;0;32.76;249.62;0.779;0.71;0.281;HN;15.31
SWS_042;32;0;33.71;249.62;0.763;0.729;0.283;HN;15.97
SWS_042;50;0;40.32;249.62;0.814;0.799;0.25;HN;20.57
SWS_042;85;0;39.71;249.62;0.814;0.799;0.25;HN;18.92
SWS_042;105;0;39.47;249.62;0.893;0.832;0.355;HN;18.27
SWS_042;120;0;39.47;249.62;0.893;0.832;0.355;HN;18.27
SWS_042;130;0;39.47;249.62;0.893;0.832;0.355;HN;18.27
SWS_043;16;0;31.37;224.46;0.779;0.71;0.281;HN;16.87
SWS_043;32;0;31.84;224.46;0.763;0.729;0.283;HN;17.36
SWS_043;50;0;35.13;224.46;0.814;0.799;0.25;HN;20.79
SWS_043;85;0;37.79;224.46;0.814;0.799;0.25;HN;20.03
SWS_043;105;0;38.85;224.46;0.893;0.832;0.355;HN;19.72
SWS_043;120;0;38.85;224.46;0.893;0.832;0.355;HN;19.72
SWS_043;130;0;38.85;224.46;0.893;0.832;0.355;HN;19.72
SWS_044;16;0;31.56;315.32;0.779;0.71;0.281;HN;15.1
SWS_044;32;0;32.27;315.32;0.763;0.729;0.283;HN;15.44
SWS_044;50;0;37.22;315.32;0.814;0.799;0.25;HN;17.81
SWS_044;85;0;36.86;315.32;0.814;0.799;0.25;HN;18.67
SWS_044;105;0;36.71;315.32;0.893;0.832;0.355;HN;19.02
SWS_044;120;0;36.71;315.32;0.893;0.832;0.355;HN;19.02
SWS_044;130;0;36.71;315.32;0.893;0.832;0.355;HN;19.02
SWS_045;16;0;20.6;301.66;0.779;0.71;0.281;HN;15.15
SWS_045;32;0;22.48;301.66;0.763;0.729;0.283;HN;15.6
SWS_045;50;0;35.63;301.66;0.814;0.799;0.25;HN;18.75
SWS_045;85;0;34.96;301.66;0.814;0.799;0.25;HN;18.33
SWS_045;105;0;34.69;301.66;0.893;0.832;0.355;HN;18.16
SWS_045;120;0;34.69;301.66;0.893;0.832;0.355;HN;18.16
SWS_045;130;0;34.69;301.66;0.893;0.832;0.355;HN;18.16
